Date,Time,Open,Close,Mean Value,5 Day SMA,15 Day SMA,30 Day SMA,Adva,Decl,AvgGain,AvgLoss,RSI
2009.12.21,0:00,1.4311,1.4342,1.4329,,,,0.0031,0,,,
2009.12.21,4:00,1.4342,1.4334,1.4342,,,,0,0.0008,,,
2009.12.21,8:00,1.4334,1.4337,1.4311,,,,0.0003,0,,,
2009.12.21,12:00,1.4337,1.4333,1.43505,,,,0,0.0004,,,
2009.12.21,16:00,1.4332,1.4294,1.43105,1.43286,,,0,0.0038,,,
2009.12.21,20:00,1.4294,1.4274,1.42805,1.43189,,,0,0.002,,,
2009.12.22,0:00,1.4273,1.4293,1.42815,1.43068,,,0.002,0,,,
2009.12.22,4:00,1.4294,1.4293,1.4293,1.43032,,,0,0.0001,,,
2009.12.22,8:00,1.4293,1.4307,1.431,1.42951,,,0.0014,0,,,
2009.12.22,12:00,1.4308,1.4281,1.4292,1.42914,,,0,0.0027,,,
2009.12.22,16:00,1.4281,1.427,1.42515,1.42856,,,0,0.0011,,,
2009.12.22,20:00,1.427,1.4254,1.42545,1.42802,,,0,0.0016,,,
2009.12.23,0:00,1.4253,1.4253,1.4261,1.42738,,,0,0,,,
2009.12.23,4:00,1.4252,1.4253,1.42515,1.42621,,,0.0001,0,0.00049,0.00089,35.56701
2009.12.23,8:00,1.4254,1.4255,1.42505,1.42538,1.429126667,,0.0001,0,0.00028,0.00089,23.78049
2009.12.23,12:00,1.4255,1.4276,1.42745,1.42584,1.428763333,,0.0021,0,0.00043,0.00084,33.89831
2009.12.23,16:00,1.4277,1.4347,1.4321,1.42717,1.428623333,,0.007,0,0.00091,0.00084,52.04918
2009.12.23,20:00,1.4348,1.4329,1.43385,1.42872,1.428806667,,0,0.0019,0.00091,0.00094,49.03475
2009.12.24,0:00,1.4327,1.4351,1.4341,1.43051,1.428743333,,0.0024,0,0.00108,0.00067,61.63265
2009.12.24,4:00,1.4352,1.4358,1.4345,1.4324,1.428973333,,0.0006,0,0.00112,0.00053,67.96537
2009.12.24,8:00,1.4358,1.4405,1.4382,1.43455,1.42965,,0.0047,0,0.00131,0.00053,71.31783
2009.12.24,12:00,1.4405,1.4365,1.4388,1.43589,1.43036,,0,0.004,0.00131,0.00081,61.95286
2009.12.24,16:00,1.4364,1.4353,1.4365,1.43642,1.43084,,0,0.0011,0.00121,0.00089,57.82313
2009.12.28,0:00,1.4371,1.4394,1.43745,1.43709,1.43127,,0.0023,0,0.00138,0.00069,66.55172
2009.12.28,4:00,1.4394,1.4388,1.43845,1.43788,1.431886667,,0,0.0006,0.00138,0.00066,67.7193
2009.12.28,8:00,1.4388,1.4393,1.4386,1.43796,1.432783333,,0.0005,0,0.00141,0.00054,72.26277
2009.12.28,12:00,1.4393,1.4393,1.44025,1.43825,1.43377,,0,0,0.00141,0.00054,72.26277
2009.12.28,16:00,1.4394,1.439,1.43905,1.43876,1.434633333,,0,0.0004,0.00141,0.00057,71.11913
2009.12.28,20:00,1.4389,1.4371,1.438,1.43887,1.43549,,0,0.0018,0.0014,0.0007,66.66667
2009.12.29,0:00,1.4371,1.4358,1.43665,1.43851,1.436263333,1.432695,0,0.0013,0.00125,0.00079,61.18881
2009.12.29,4:00,1.4358,1.438,1.4369,1.43817,1.436893333,1.432828333,0.0022,0,0.00091,0.00079,53.36134
2009.12.29,8:00,1.438,1.4416,1.44075,1.43827,1.43747,1.433046667,0.0036,0,0.00116,0.00066,63.92157
2009.12.29,12:00,1.4416,1.4425,1.4434,1.43914,1.438106667,1.433456667,0.0009,0,0.00106,0.00066,61.66667
2009.12.29,16:00,1.4425,1.4359,1.43795,1.43913,1.438363333,1.433553333,0,0.0066,0.00101,0.00113,47.33333
2009.12.29,20:00,1.4359,1.435,1.43475,1.43875,1.43838,1.433676667,0,0.0009,0.00068,0.00119,36.25954
2009.12.30,0:00,1.435,1.4311,1.4331,1.43799,1.43804,1.433845,0,0.0039,0.00068,0.00119,36.39847
2009.12.30,4:00,1.431,1.4338,1.4326,1.43636,1.437626667,1.433993333,0.0028,0,0.00088,0.00111,44.2446
2009.12.30,8:00,1.4339,1.4356,1.4347,1.43462,1.437506667,1.434173333,0.0017,0,0.00084,0.00111,43.01471
2009.12.30,12:00,1.4356,1.4297,1.43235,1.4335,1.437166667,1.434218333,0,0.0059,0.00084,0.00149,36
2009.12.30,16:00,1.4297,1.4335,1.4314,1.43283,1.436696667,1.434291667,0.0038,0,0.00107,0.00149,41.89944
2009.12.30,20:00,1.4336,1.4335,1.43335,1.43288,1.436346667,1.434565,0,0.0001,0.00107,0.00149,41.78273
2009.12.31,0:00,1.4336,1.4368,1.43535,1.43343,1.43602,1.434895,0.0032,0,0.0013,0.00146,47.02842
2009.12.31,4:00,1.4368,1.4439,1.4401,1.43451,1.43609,1.435361667,0.0071,0,0.00181,0.00134,57.5
2009.12.31,8:00,1.4438,1.4404,1.44145,1.43633,1.43632,1.435905,0,0.0034,0.00181,0.00149,54.88069
2009.12.31,12:00,1.4403,1.4369,1.43915,1.43788,1.436486667,1.436375,0,0.0034,0.00165,0.00173,48.83721
2009.12.31,16:00,1.4368,1.4331,1.4337,1.43795,1.436273333,1.436583333,0,0.0037,0.00139,0.00199,41.13924
2010.01.04,0:00,1.4324,1.4295,1.4295,1.43678,1.435523333,1.436496667,0,0.0029,0.00133,0.0022,37.65182
2010.01.04,4:00,1.4294,1.4294,1.429,1.43456,1.434563333,1.436335,0,0,0.00133,0.00173,43.45794
2010.01.04,8:00,1.4295,1.4375,1.4334,1.43295,1.43426,1.436311667,0.008,0,0.0019,0.00166,53.30661
2010.01.04,12:00,1.4375,1.4423,1.4412,1.43336,1.43469,1.436535,0.0048,0,0.00224,0.00139,61.81102
2010.01.04,16:00,1.4424,1.4412,1.44285,1.43519,1.43534,1.43669,0,0.0012,0.00204,0.00147,58.13008
2010.01.04,20:00,1.4412,1.4412,1.44145,1.43758,1.43593,1.436778333,0,0,0.00192,0.00147,56.63158
2010.01.05,0:00,1.4411,1.4414,1.4422,1.44022,1.43643,1.436968333,0.0003,0,0.00194,0.00105,64.91647
2010.01.05,4:00,1.4414,1.4475,1.44435,1.44241,1.43723,1.437198333,0.0061,0,0.00211,0.00105,66.74208
2010.01.05,8:00,1.4476,1.4418,1.4444,1.44305,1.438096667,1.437396667,0,0.0058,0.00211,0.00146,59.11824
2010.01.05,12:00,1.4417,1.4404,1.442,1.44288,1.438673333,1.43751,0,0.0013,0.00188,0.00155,54.79167
2010.01.05,16:00,1.4403,1.4362,1.4389,1.44237,1.43891,1.437465,0,0.0041,0.00137,0.00184,42.66667
2010.01.05,20:00,1.4362,1.4361,1.43605,1.44114,1.43864,1.437365,0,0.0001,0.00137,0.00161,46.04317
2010.01.06,0:00,1.4361,1.4356,1.43515,1.4393,1.43822,1.43727,0,0.0005,0.00137,0.0014,49.48454
2010.01.06,4:00,1.4356,1.431,1.4326,1.43694,1.437783333,1.437135,0,0.0046,0.00137,0.00146,48.36272
2010.01.06,8:00,1.431,1.4374,1.4332,1.43518,1.43775,1.437011667,0.0064,0,0.00183,0.00126,59.25926
2010.01.06,12:00,1.4375,1.4353,1.4357,1.43454,1.438163333,1.436843333,0,0.0022,0.00183,0.00141,56.38767
2010.01.06,16:00,1.4353,1.4396,1.43835,1.435,1.438786667,1.436675,0.0043,0,0.00156,0.00141,52.51799
2010.01.06,20:00,1.4396,1.4399,1.4412,1.43621,1.439306667,1.436783333,0.0003,0,0.00124,0.00141,46.77419
2010.01.07,0:00,1.4399,1.4402,1.44185,1.43806,1.43935,1.43702,0.0003,0,0.00126,0.00133,48.76033
2010.01.07,4:00,1.4403,1.4367,1.43865,1.43915,1.43907,1.437205,0,0.0036,0.00126,0.00159,44.3609
2010.01.07,8:00,1.4367,1.435,1.43685,1.43938,1.438763333,1.437346667,0,0.0017,0.00124,0.00171,42.13075
2010.01.07,12:00,1.4349,1.4318,1.43245,1.4382,1.438113333,1.437271667,0,0.0031,0.00081,0.00193,29.50392
2010.01.07,16:00,1.4317,1.4308,1.4318,1.43632,1.437276667,1.437253333,0,0.0009,0.00081,0.00158,33.83234
2010.01.07,20:00,1.4308,1.4304,1.4315,1.43425,1.436416667,1.437256667,0,0.0004,0.00081,0.00151,34.76923
2010.01.08,0:00,1.4304,1.4308,1.43135,1.43279,1.435706667,1.43719,0.0004,0,0.00084,0.00122,40.625
2010.01.08,4:00,1.4308,1.431,1.4302,1.43146,1.435126667,1.437018333,0.0002,0,0.00085,0.00121,41.17647
2010.01.08,8:00,1.4311,1.4303,1.43155,1.43128,1.434826667,1.436733333,0,0.0008,0.00085,0.00124,40.75342
2010.01.08,12:00,1.4302,1.4355,1.4339,1.4317,1.434743333,1.436481667,0.0053,0,0.00123,0.00091,57.52508
2010.01.08,16:00,1.4355,1.4423,1.43695,1.43279,1.435033333,1.436408333,0.0068,0,0.00126,0.00091,58.08581
2010.01.08,20:00,1.4423,1.4408,1.44135,1.43479,1.435576667,1.436663333,0,0.0015,0.00126,0.00086,59.45946
2010.01.11,0:00,1.4411,1.4508,1.44595,1.43794,1.43626,1.437211667,0.0097,0,0.00164,0.00086,65.71429
2010.01.11,4:00,1.4508,1.4488,1.45095,1.44182,1.4371,1.437943333,0,0.002,0.00162,0.001,61.85286
2010.01.11,8:00,1.4488,1.4525,1.45065,1.44517,1.43773,1.438518333,0.0037,0,0.00186,0.001,65.08728
2010.01.11,12:00,1.4525,1.4513,1.45195,1.44817,1.438403333,1.438876667,0,0.0012,0.00186,0.00083,69.23077
2010.01.11,16:00,1.4513,1.4529,1.45275,1.45045,1.439343333,1.439206667,0.0016,0,0.00198,0.00071,73.67021
2010.01.11,20:00,1.4529,1.4513,1.4521,1.45168,1.44036,1.439561667,0,0.0016,0.00198,0.0006,76.7313
2010.01.12,0:00,1.4513,1.4489,1.44855,1.4512,1.441433333,1.439773333,0,0.0024,0.00198,0.00071,73.67021
2010.01.12,4:00,1.4488,1.4499,1.44905,1.45088,1.442583333,1.43993,0.0011,0,0.00206,0.00068,75.19582
2010.01.12,8:00,1.4499,1.4503,1.44935,1.45036,1.443773333,1.440095,0.0004,0,0.00206,0.00068,75.19582
2010.01.12,12:00,1.4504,1.4506,1.44875,1.44956,1.444933333,1.44032,0.0002,0,0.00206,0.00068,75.19582
2010.01.12,16:00,1.4507,1.4497,1.45135,1.44941,1.446343333,1.440735,0,0.001,0.00206,0.00069,74.80519
2010.01.12,20:00,1.4497,1.4493,1.44895,1.44949,1.447503333,1.441165,0,0.0004,0.00168,0.00072,69.94048
2010.01.13,0:00,1.4492,1.4474,1.4474,1.44916,1.448403333,1.441573333,0,0.0018,0.00119,0.00085,58.39161
2010.01.13,4:00,1.4473,1.4502,1.4484,1.44897,1.449166667,1.4421,0.0029,0,0.0014,0.00074,65.33333
2010.01.13,8:00,1.4502,1.4514,1.44915,1.44905,1.449686667,1.442631667,0.0012,0,0.00079,0.00074,51.62791
2010.01.13,12:00,1.4515,1.455,1.45455,1.44969,1.45026,1.44326,0.0035,0,0.00104,0.0006,63.47826
2010.01.13,16:00,1.4551,1.4505,1.45125,1.45015,1.45028,1.44369,0,0.0046,0.00078,0.00093,45.60669
2010.01.13,20:00,1.4503,1.4499,1.4505,1.45077,1.45027,1.444,0,0.0004,0.00078,0.00087,47.18615
2010.01.14,0:00,1.4499,1.4544,1.4522,1.45153,1.450286667,1.444345,0.0045,0,0.00099,0.00087,53.07692
2010.01.14,4:00,1.4545,1.4541,1.4541,1.45252,1.450376667,1.44486,0,0.0004,0.00099,0.00079,55.64516
2010.01.14,8:00,1.454,1.4505,1.4524,1.45209,1.450396667,1.445378333,0,0.0035,0.00099,0.00086,53.28185
2010.01.14,12:00,1.4504,1.4472,1.4491,1.45166,1.450433333,1.445933333,0,0.0032,0.00091,0.00109,45.35714
2010.01.14,16:00,1.4472,1.451,1.44835,1.45123,1.450386667,1.446485,0.0038,0,0.00115,0.00109,51.27389
2010.01.14,20:00,1.451,1.4498,1.45025,1.45084,1.450446667,1.44711,0,0.0012,0.00114,0.00118,49.07407
2010.01.15,0:00,1.4497,1.4426,1.4459,1.4492,1.450256667,1.447595,0,0.0071,0.00114,0.00161,41.2987
2010.01.15,4:00,1.4426,1.4426,1.44245,1.44721,1.449663333,1.448003333,0,0,0.00114,0.00159,41.73228
2010.01.15,8:00,1.4426,1.4385,1.44045,1.44548,1.449096667,1.4483,0,0.0041,0.00114,0.00175,39.35644
2010.01.15,12:00,1.4385,1.4385,1.4378,1.44337,1.448456667,1.44843,0,0,0.00093,0.00175,34.66667
